Test Name,Benchmark,Percentage,AMAT,Max Cycle Count,L3 Accesses,L2 Private Hit Rate,L2 Shared Hit Rate,L2 MPKI,L2S MPKI,L2P MPKI
100_gapbs_all_cores,gapbs_all_cores,100,4.026987142235735,48490259571,24799843,0,0.003973968212913158,0.24799839422375164,0.24799839422375164,0.0
60_527_cam4_r,527_cam4_r,60,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
30_557_xz_r,557_xz_r,30,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
70_4xgapbs,4xgapbs,70,4.046098000276847,12330125742,42218329,0.0010044568942333791,0.007154018283387425,0.8474085041101519,0.4221832173169373,0.4252252867932146
70_gapbs_all_cores,gapbs_all_cores,70,4.026991573818309,48552119709,24814489,0.0005602662230258697,0.00304496385918374,0.4970476037628385,0.2481448519395426,0.24890275182329594
40_4xgapbs,4xgapbs,40,4.046089529490104,12330406496,42225830,0.004991756046026747,0.002084556528713073,0.8453982272998254,0.42225808387564495,0.4231401434241804
40_gapbs_all_cores,gapbs_all_cores,40,4.026989503271838,48552269868,24817392,0.0021689776466000048,0.00095607520781452,0.4965853140534174,0.24817390703291337,0.248411407020504
10_4xgapbs,4xgapbs,10,4.048710885103494,12344813788,47224119,0.004288300921410183,0.000263461161146268,0.9446064516851161,0.47224100086747917,0.472365450817637
10_gapbs_all_cores,gapbs_all_cores,10,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
75_4xgapbs,4xgapbs,75,4.046070558384234,12331105265,42157236,0.0010050714760174745,0.008563249757057377,0.8467856116424815,0.4215722015057151,0.42521341013676633
75_gapbs_all_cores,gapbs_all_cores,75,4.026988789789255,48552214174,24801311,0.0005600629801823313,0.0035790112442575235,0.496916981614285,0.2480130758684405,0.2489039057458445
80_4xgapbs,4xgapbs,80,4.046068598240341,12330153849,42155085,0.0010053910376509945,0.008622742357738473,0.8467676112581133,0.42155053699029527,0.425217074267818
80_gapbs_all_cores,gapbs_all_cores,80,4.026988227060347,48552176924,24799943,0.0005600718633074508,0.0036181600489417457,0.49689936352241837,0.247999401812388,0.24889996171003037
50_4xgapbs,4xgapbs,50,4.046088881176154,12330234296,42226009,0.004991877887065476,0.002069949337324107,0.8453955644977812,0.42225984750039214,0.42313571699738906
50_gapbs_all_cores,gapbs_all_cores,50,4.0269893714809575,48552321728,24817477,0.0021691804930734204,0.0009515273751410665,0.49658588468405157,0.24817475734805086,0.2484111273360007
20_4xgapbs,4xgapbs,20,4.049973162113094,12349706138,49605096,0.004900997095467768,0.0004058620415253634,0.9923027340626701,0.4960506620918144,0.4962520719708557
20_gapbs_all_cores,gapbs_all_cores,20,4.027111031706254,48557375557,25048079,0.002494550647085156,0.0003676774010535536,0.5010536567530279,0.2504807633814093,0.2505728933716186
25_4xgapbs,4xgapbs,25,4.050525974447608,12353104419,50654542,0.004778548575475383,0.00040516961060579806,1.0132958749700034,0.5065452775138789,0.5067505974561245
25_gapbs_all_cores,gapbs_all_cores,25,4.02711269896312,48557788475,25051046,0.002494198566259737,0.0003747739764165335,0.5011148066157316,0.25051044331099426,0.25060436330473734
90_4xgapbs,4xgapbs,90,4.0470253509079726,12332799000,42159042,0.0,0.14429085938572894,0.9142693389284119,0.42159011516505135,0.4926792237633605
90_gapbs_all_cores,gapbs_all_cores,90,4.027863722402978,48567403110,24800245,0.0,0.20167730447974677,0.55865674075463,0.24800240594237258,0.3106543348122574
60_4xgapbs,4xgapbs,60,4.046089414449268,12331132272,42225833,0.004991766884987343,0.002072905968998816,0.8453932423806214,0.4222580614692084,0.42313518091141306
60_gapbs_all_cores,gapbs_all_cores,60,4.026989683238919,48552234331,24817581,0.002168975816986113,0.0009493114311918488,0.4965874142420108,0.2481757971271214,0.2484116171148894
30_4xgapbs,4xgapbs,30,4.046105476657221,12330387565,42263558,0.004992321169981305,0.0012157390421486923,0.8457849800565254,0.42263527021679964,0.4231497098397257
30_gapbs_all_cores,gapbs_all_cores,30,4.026993112826695,48552241891,24825922,0.0021946514484028757,0.0006024744365016258,0.49666802298665635,0.24825918150493131,0.24840884148172504
